"PARID","LUC","LUC_desc","situs","NAME","year","if1991","yearGroup"
"1404 02650000","R-10","R - Single Family/Cabin","206  NEW ST","Spring City",1900,"Before 1991","1950 or older"
"1404 02660000","R-10","R - Single Family/Cabin","78 N CHURCH ST","Spring City",1900,"Before 1991","1950 or older"
"1404 02670000","R-10","R - Single Family/Cabin","76 N CHURCH ST","Spring City",1900,"Before 1991","1950 or older"
"1404 02680000","R-10","R - Single Family/Cabin","64 N CHURCH ST","Spring City",1984,"Before 1991","1981-1990"
"1404 02680100","R-30","R - Multi Family/Dorms/Single","68 N CHURCH ST","Spring City",1860,"Before 1991","1950 or older"
"1404 02680200","R-10","R - Single Family/Cabin","62 N CHURCH ST","Spring City",1984,"Before 1991","1981-1990"
"1404 02690000","R-10","R - Single Family/Cabin","54 N CHURCH ST","Spring City",1900,"Before 1991","1950 or older"
"1404 02700000","R-30","R - Multi Family/Dorms/Single","52 N CHURCH ST","Spring City",1900,"Before 1991","1950 or older"
"1404 02720000","R-30","R - Multi Family/Dorms/Single","249  BROAD ST","Spring City",1885,"Before 1991","1950 or older"
"1404 02730000","R-40","A - Aparments (4-19 Units)","273  BROAD ST","Spring City",1900,"Before 1991","1950 or older"
"1404 02730000","R-40","A - Aparments (4-19 Units)","273  BROAD ST","Spring City",1979,"Before 1991","1971-1980"
"1404 02730100","R-10","R - Single Family/Cabin","263  BROAD ST","Spring City",1961,"Before 1991","1961-1970"
"1404 02740000","R-10","R - Single Family/Cabin","47 N CHURCH ST","Spring City",1900,"Before 1991","1950 or older"
"1404 02750000","R-10","R - Single Family/Cabin","49 N CHURCH ST","Spring City",1900,"Before 1991","1950 or older"
"1404 02760000","R-10","R - Single Family/Cabin","51 N CHURCH ST","Spring City",1900,"Before 1991","1950 or older"
"1404 02770000","R-10","R - Single Family/Cabin","53 N CHURCH ST","Spring City",1900,"Before 1991","1950 or older"
"1404 02780000","R-10","R - Single Family/Cabin","59 N CHURCH ST","Spring City",1900,"Before 1991","1950 or older"
"1404 02790000","R-10","R - Single Family/Cabin","61 N CHURCH ST","Spring City",1900,"Before 1991","1950 or older"
"1404 02800000","R-20","R - Two Family","65 N CHURCH ST","Spring City",1900,"Before 1991","1950 or older"
"1404 02810000","R-10","R - Single Family/Cabin","67 N CHURCH ST","Spring City",1900,"Before 1991","1950 or older"
"1404 02820000","R-10","R - Single Family/Cabin","69 N CHURCH ST","Spring City",1900,"Before 1991","1950 or older"
"1404 02830000","R-30","R - Multi Family/Dorms/Single","73 N CHURCH ST","Spring City",1900,"Before 1991","1950 or older"
"1404 02840000","R-10","R - Single Family/Cabin","150  NEW ST","Spring City",1900,"Before 1991","1950 or older"
"1404 02840000","R-10","R - Single Family/Cabin","150  NEW ST","Spring City",1900,"Before 1991","1950 or older"
