"PARID","LUC","LUC_desc","situs","NAME","year","if1991","yearGroup"
"3002N00570000","R-10","R - Single Family/Cabin","11  HIGHLAND CRT","East Brandywine",1977,"Before 1991","1971-1980"
"3002N00580000","R-10","R - Single Family/Cabin","12  WINDEMERE CRT","East Brandywine",1977,"Before 1991","1971-1980"
"3002N00590000","R-10","R - Single Family/Cabin","13  WINDEMERE CRT","East Brandywine",1977,"Before 1991","1971-1980"
"3002N00600000","R-10","R - Single Family/Cabin","14  WINDEMERE CRT","East Brandywine",1977,"Before 1991","1971-1980"
"3002N00610000","R-10","R - Single Family/Cabin","15  WINDEMERE CRT","East Brandywine",1977,"Before 1991","1971-1980"
"3002N00620000","R-10","R - Single Family/Cabin","26  WINDEMERE CRT","East Brandywine",1977,"Before 1991","1971-1980"
"3002N00630000","R-10","R - Single Family/Cabin","27  WINDEMERE CRT","East Brandywine",1978,"Before 1991","1971-1980"
"3002N00640000","R-10","R - Single Family/Cabin","25  WINDEMERE CRT","East Brandywine",1977,"Before 1991","1971-1980"
"3002N00650000","R-10","R - Single Family/Cabin","24  WINDEMERE CRT","East Brandywine",1977,"Before 1991","1971-1980"
"3002N00660000","R-10","R - Single Family/Cabin","23  WINDEMERE CRT","East Brandywine",1977,"Before 1991","1971-1980"
"3002N00670000","R-10","R - Single Family/Cabin","22  WINDEMERE CRT","East Brandywine",1977,"Before 1991","1971-1980"
"3002N00680000","R-10","R - Single Family/Cabin","21  WINDEMERE CRT","East Brandywine",1977,"Before 1991","1971-1980"
"3002N00690000","R-10","R - Single Family/Cabin","20  WINDEMERE CRT","East Brandywine",1977,"Before 1991","1971-1980"
"3002N00700000","R-10","R - Single Family/Cabin","19  WINDEMERE CRT","East Brandywine",1977,"Before 1991","1971-1980"
"3002N00710000","R-10","R - Single Family/Cabin","18  WINDEMERE CRT","East Brandywine",1977,"Before 1991","1971-1980"
"3002N00720000","R-10","R - Single Family/Cabin","17  WINDEMERE CRT","East Brandywine",1977,"Before 1991","1971-1980"
"3002N00730000","R-10","R - Single Family/Cabin","16  WINDEMERE CRT","East Brandywine",1977,"Before 1991","1971-1980"
"3002N00750000","R-10","R - Single Family/Cabin","33  CAMBRIDGE CRT","East Brandywine",1977,"Before 1991","1971-1980"
"3002N00760000","R-10","R - Single Family/Cabin","32  CAMBRIDGE CRT","East Brandywine",1977,"Before 1991","1971-1980"
"3002N00770000","R-10","R - Single Family/Cabin","31  CAMBRIDGE CRT","East Brandywine",1977,"Before 1991","1971-1980"
"3002N00790000","R-10","R - Single Family/Cabin","29  CAMBRIDGE CRT","East Brandywine",1977,"Before 1991","1971-1980"
"3002N00800000","R-10","R - Single Family/Cabin","28  CAMBRIDGE CRT","East Brandywine",1977,"Before 1991","1971-1980"
"3002N00810000","R-10","R - Single Family/Cabin","41  CAMBRIDGE CRT","East Brandywine",1977,"Before 1991","1971-1980"
"3002N00820000","R-10","R - Single Family/Cabin","40  CAMBRIDGE CRT","East Brandywine",1977,"Before 1991","1971-1980"
"3002N00830000","R-10","R - Single Family/Cabin","39  CAMBRIDGE CRT","East Brandywine",1977,"Before 1991","1971-1980"
"3002N00840000","R-10","R - Single Family/Cabin","38  CAMBRIDGE CRT","East Brandywine",1977,"Before 1991","1971-1980"
"3002N00850000","R-10","R - Single Family/Cabin","37  CAMBRIDGE CRT","East Brandywine",1977,"Before 1991","1971-1980"
"3002N00860000","R-10","R - Single Family/Cabin","36  CAMBRIDGE CRT","East Brandywine",1977,"Before 1991","1971-1980"
"3002N00870000","R-10","R - Single Family/Cabin","35  CAMBRIDGE CRT","East Brandywine",1977,"Before 1991","1971-1980"
"3002N00880000","R-10","R - Single Family/Cabin","34  CAMBRIDGE CRT","East Brandywine",1978,"Before 1991","1971-1980"
"3002N00900000","R-10","R - Single Family/Cabin","46  SUFFOLK CRT","East Brandywine",1979,"Before 1991","1971-1980"
"3002N00910000","R-10","R - Single Family/Cabin","45  SUFFOLK CRT","East Brandywine",1978,"Before 1991","1971-1980"
"3002N00920000","R-10","R - Single Family/Cabin","44  SUFFOLK CRT","East Brandywine",1978,"Before 1991","1971-1980"
"3002N00930000","R-10","R - Single Family/Cabin","43  SUFFOLK CRT","East Brandywine",1978,"Before 1991","1971-1980"
"3002N00940000","R-10","R - Single Family/Cabin","42  SUFFOLK CRT","East Brandywine",1978,"Before 1991","1971-1980"
"3002N00950000","R-10","R - Single Family/Cabin","50  SUFFOLK CRT","East Brandywine",1979,"Before 1991","1971-1980"
"3002N00960000","R-10","R - Single Family/Cabin","49  SUFFOLK CRT","East Brandywine",1979,"Before 1991","1971-1980"
