PARID,LUC,LUC_desc,PROPERTY_LOC,PropLoc_desc,PROPERTY_CLASS,NBHD,ZONING,WATER,Water_desc,DEGREE_REMOD,degree_remod_desc,YEAR_REMOD,YRBLT,COMM_YRBLT,X_CO,Y_CO,situs
0401 00320000,R-10,R - Single Family/Cabin,6,Neighborhood or Spot,R,04001000,R1,1,Public,,Not Listed,,1900,,2520348,186572,501 PENNSYLVANIA AVE
0401 00330000,R-10,R - Single Family/Cabin,6,Neighborhood or Spot,R,04001000,R1,1,Public,,Not Listed,,1920,,2520503,186643,502 CHATHAM ST
0401 00340000,R-10,R - Single Family/Cabin,6,Neighborhood or Spot,R,04001000,R1,1,Public,5,Kitchen Remodeling,1980,1920,,2520485,186690,502 CHATHAM ST
0401 00350000,R-10,R - Single Family/Cabin,6,Neighborhood or Spot,R,04001000,R1,1,Public,,Not Listed,,1962,,2520462,186735,504 CHATHAM ST
0401 00360000,R-10,R - Single Family/Cabin,6,Neighborhood or Spot,R,04001000,R1,1,Public,,Not Listed,,1953,,2520441,186782,506 CHATHAM ST
0401 00370000,R-10,R - Single Family/Cabin,6,Neighborhood or Spot,R,04001000,R1,1,Public,6,Complete Rehab,2022,1955,,2520415,186834,508 CHATHAM ST
0401 00380000,R-10,R - Single Family/Cabin,6,Neighborhood or Spot,R,04001000,R1,1,Public,,Not Listed,,1948,,2520390,186889,510 CHATHAM ST
0401 00390000,R-10,R - Single Family/Cabin,6,Neighborhood or Spot,R,04001000,R1,1,Public,,Not Listed,,1950,,2520373,186955,512 CHATHAM ST
0401 00400000,R-30,R - Multi Family/Dorms/Single,6,Neighborhood or Spot,R,04001000,R1,1,Public,,Not Listed,,1910,,2520387,186489,419 PENNSYLVANIA AVE
0401 00410000,C-60,C - Office Bldgs/Laboratory/Library,5,Secondary Strip,C,99045000,R1,1,Public,,Not Listed,,,1908,2520405,186442,417 PENNSYLVANIA AVE
0401 00420000,R-20,R - Two Family,6,Neighborhood or Spot,R,04001000,R1,1,Public,,Not Listed,,1920,,2520431,186394,413 PENNSYLVANIA AVE
0401 00430000,R-20,R - Two Family,6,Neighborhood or Spot,R,04001000,R1,1,Public,5,Kitchen Remodeling,2016,1920,,2520452,186349,411 PENNSYLVANIA AVE
0401 00440000,R-20,R - Two Family,6,Neighborhood or Spot,R,04001000,R1,1,Public,1,Cosmetic Redecoration,,1900,,2520483,186283,401 PENNSYLVANIA AVE
0401 00450000,R-10,R - Single Family/Cabin,6,Neighborhood or Spot,R,04001000,R1,1,Public,,Not Listed,,1900,,2520632,186366,400 CHATHAM ST
0401 00460000,R-10,R - Single Family/Cabin,6,Neighborhood or Spot,R,04001000,R1,1,Public,5,Kitchen Remodeling,1980,1926,,2520593,186457,412 CHATHAM ST
0401 00470000,R-20,R - Two Family,6,Neighborhood or Spot,R,04001000,R1,1,Public,,Not Listed,,1900,,2520556,186540,420 CHATHAM ST
0401 00470000,R-20,R - Two Family,6,Neighborhood or Spot,R,04001000,R1,1,Public,,Not Listed,,1900,,2520556,186540,420 CHATHAM ST
0401 00480000,C-80,C - Warehouse,6,Neighborhood or Spot,C,99046000,R1,1,Public,,Not Listed,,,1890,2520741,186597,411 CHATHAM ST
0401 00490000,R-10,R - Single Family/Cabin,6,Neighborhood or Spot,R,04001000,R1,1,Public,5,Kitchen Remodeling,1994,1925,,2520783,186494,401 CHATHAM ST
0401 00500000,R-10,R - Single Family/Cabin,6,Neighborhood or Spot,R,04001000,R1,1,Public,,Not Listed,,1959,,2520817,186420,200 FOURTH ST
0401 00510000,R-10,R - Single Family/Cabin,6,Neighborhood or Spot,R,04001000,R1,1,Public,,Not Listed,,1977,,2520952,186494,400 NEW ST
0401 00510100,V-10,R - Vacant Land Residential,8,Industrial Site,R,04001000,R1,1,Public,,Not Listed,,,,2520870,186659,420 CHATHAM ST
0401 00510200,R-10,R - Single Family/Cabin,6,Neighborhood or Spot,R,04001000,R1,1,Public,,Not Listed,,1977,,2520916,186561,402 NEW ST
0401 00520000,R-10,R - Single Family/Cabin,6,Neighborhood or Spot,R,04001000,R1,1,Public,6,Complete Rehab,2020,1900,,2520527,186185,319 PENNSYLVANIA AVE
0401 00530000,R-10,R - Single Family/Cabin,6,Neighborhood or Spot,R,04001000,R1,1,Public,,Not Listed,,1900,,2520545,186144,317 PENNSYLVANIA AVE
0401 00540000,R-20,R - Two Family,6,Neighborhood or Spot,R,04001000,R1,1,Public,6,Complete Rehab,2014,1900,,2520578,186088,315 PENNSYLVANIA AVE
0401 00550000,R-10,R - Single Family/Cabin,6,Neighborhood or Spot,R,04001000,R1,1,Public,,Not Listed,,1900,,2520609,186014,305 PENNSYLVANIA AVE
0401 00560000,R-60,R - Dwelling W/Comm Use Primary R,6,Neighborhood or Spot,R,04001000,R1,1,Public,,Not Listed,,1887,,2520634,185960,301 PENNSYLVANIA AVE
0401 00570000,R-10,R - Single Family/Cabin,6,Neighborhood or Spot,R,04001000,R1,1,Public,,Not Listed,,1900,,2520788,186019,300 CHATHAM ST
0401 00580000,R-10,R - Single Family/Cabin,6,Neighborhood or Spot,R,04001000,R1,1,Public,,Not Listed,,1900,,2520778,186047,302 CHATHAM ST
0401 00590000,R-10,R - Single Family/Cabin,6,Neighborhood or Spot,R,04001000,R1,1,Public,,Not Listed,,1900,,2520762,186082,306 CHATHAM ST
0401 00590100,V-10,R - Vacant Land Residential,6,Neighborhood or Spot,R,04001000,R1,3,None,,Not Listed,,,,2520743,186128,310 CHATHAM ST
0401 00590200,V-10,R - Vacant Land Residential,6,Neighborhood or Spot,R,04001000,R1,3,None,,Not Listed,,,,2520724,186169,314 CHATHAM ST
0401 00600000,R-10,R - Single Family/Cabin,6,Neighborhood or Spot,R,04001000,R1,1,Public,,Not Listed,,1900,,2520695,186220,318 CHATHAM ST
0401 00600100,R-10,R - Single Family/Cabin,6,Neighborhood or Spot,R,04001000,R1,1,Public,,Not Listed,,1900,,2520707,186199,316 CHATHAM ST
0401 00610000,R-10,R - Single Family/Cabin,6,Neighborhood or Spot,R,04001000,R1,1,Public,6,Complete Rehab,2003,1900,,2520645,186239,101 E FOURTH ST
0401 00620000,R-10,R - Single Family/Cabin,6,Neighborhood or Spot,R,04001000,R1,1,Public,,Not Listed,,1922,,2520711,186270,320 CHATHAM ST
0401 00630000,R-10,R - Single Family/Cabin,6,Neighborhood or Spot,R,04001000,R1,1,Public,5,Kitchen Remodeling,1964,1930,,2520863,186313,319 CHATHAM ST
0401 00640000,R-10,R - Single Family/Cabin,6,Neighborhood or Spot,R,04001000,R1,1,Public,,Not Listed,,1900,,2520898,186244,315 CHATHAM ST
0401 00650000,R-10,R - Single Family/Cabin,6,Neighborhood or Spot,R,04001000,R1,3,None,,Not Listed,,2015,,2520922,186191,313 CHATHAM ST
0401 00660000,R-10,R - Single Family/Cabin,6,Neighborhood or Spot,R,04001000,R1,1,Public,,Not Listed,,1900,,2520902,186096,301 CHATHAM ST
0401 00670000,R-10,R - Single Family/Cabin,6,Neighborhood or Spot,R,04001000,R1,1,Public,,Not Listed,,1900,,2520966,186130,201 E THIRD ST
0401 00680000,R-10,R - Single Family/Cabin,6,Neighborhood or Spot,R,04001000,R1,1,Public,,Not Listed,,1900,,2521017,186349,316 NEW ST
0401 00690000,R-10,R - Single Family/Cabin,6,Neighborhood or Spot,R,04001000,R1,1,Public,5,Kitchen Remodeling,1970,1900,,2521075,186216,300 NEW ST
0401 00700000,R-10,R - Single Family/Cabin,6,Neighborhood or Spot,R,04001000,R1,1,Public,5,Kitchen Remodeling,1987,1908,,2520941,186981,501 CHATHAM ST
0401 00710000,F-40,"C - Mushroom, Horticultural, etc",6,Neighborhood or Spot,C,99046000,R1,1,Public,,Not Listed,,,1932,2521318,186651,401 NEW ST
0401 00710000,F-40,"C - Mushroom, Horticultural, etc",6,Neighborhood or Spot,C,99046000,R1,1,Public,,Not Listed,,,1908,2521318,186651,401 NEW ST
0401 00720000,R-10,R - Single Family/Cabin,6,Neighborhood or Spot,R,04001000,R1,1,Public,,Not Listed,,1900,,2521199,186361,315 NEW ST
0401 00730000,R-10,R - Single Family/Cabin,6,Neighborhood or Spot,R,04001000,R1,1,Public,,Not Listed,,1900,,2521193,186251,301 E THIRD ST
0401 00740000,R-10,R - Single Family/Cabin,6,Neighborhood or Spot,R,04001000,R1,1,Public,,Not Listed,,1900,,2521257,186274,303 E THIRD ST
